loss,accuracy,val_loss,val_accuracy
0.03158209100365639,0.25050610303878784,0.023166431114077568,0.2568691670894623
0.016097236424684525,0.4259795546531677,0.0016471820417791605,0.6596904993057251
0.0011645822087302804,0.6699326634407043,0.0009138555033132434,0.6759139895439148
0.000866616377606988,0.6883447766304016,0.0008033330086618662,0.6899975538253784
0.0007977625937201083,0.6938623785972595,0.0007602709229104221,0.6959407925605774
0.000765990000218153,0.691981852054596,0.0007431235280819237,0.6881958842277527
0.0007408346282318234,0.6852386593818665,0.000703867175616324,0.6837142109870911
0.0007066439720802009,0.6743105053901672,0.0006785230943933129,0.6665395498275757
0.0006893843528814614,0.6688786745071411,0.0006693233153782785,0.6878241896629333
0.0006796233355998993,0.6638950109481812,0.0006631419528275728,0.671579122543335
0.0006719104712828994,0.6593750715255737,0.0006622502696700394,0.6720945239067078
0.0006652539013884962,0.6567829847335815,0.0006479386938735843,0.620104968547821
0.000658536737319082,0.6537169218063354,0.000644872197881341,0.6374361515045166
0.0006521710311062634,0.6520608067512512,0.0006468145875260234,0.6602687835693359
0.0006455043330788612,0.6513473987579346,0.0006334910867735744,0.6738383173942566
0.0006403105217032135,0.6509182453155518,0.0006281145033426583,0.6566833853721619
0.0006341551779769361,0.6497123837471008,0.0006298859952948987,0.6475556492805481
0.0006313881021924317,0.6491243243217468,0.0006200630450621247,0.6667481064796448
0.0006260996451601386,0.6511579751968384,0.0006109523237682879,0.6331056952476501
0.0006218338385224342,0.6527779698371887,0.0006291343015618622,0.6485425233840942
